stratum,value,method,people,images,accuracy,macro_f1_fixed_classes,sitting_precision,sitting_recall,sitting_f1,sitting_support,standing_precision,standing_recall,standing_f1,standing_support,walking_running_precision,walking_running_recall,walking_running_f1,walking_running_support
area_quartile,Q1_small,v1,888,457,0.5878378378378378,0.6342815214868663,0.8551724137931035,0.7948717948717948,0.8239202657807309,156,0.8038461538461539,0.41141732283464566,0.5442708333333334,508,0.391304347826087,0.84375,0.5346534653465347,224
area_quartile,Q1_small,source_tight_pad,888,457,0.6756756756756757,0.7026198797899155,0.8421052631578947,0.8205128205128205,0.8311688311688312,156,0.8468468468468469,0.5551181102362205,0.6706302021403091,508,0.47146401985111663,0.8482142857142857,0.6060606060606061,224
area_quartile,Q1_small,dino_tight_svm,888,457,0.8524774774774775,0.8446728753159601,0.9225806451612903,0.9166666666666666,0.9196141479099679,156,0.8492647058823529,0.9094488188976378,0.8783269961977186,508,0.8042328042328042,0.6785714285714286,0.7360774818401937,224
area_quartile,Q1_small,dino_context_svm,888,457,0.8445945945945946,0.8344037281532657,0.9150326797385621,0.8974358974358975,0.9061488673139159,156,0.84,0.9094488188976378,0.8733459357277883,508,0.8,0.6607142857142857,0.7237163814180929,224
area_quartile,Q1_small,dino_stack,888,457,0.8592342342342343,0.856005747946929,0.9079754601226994,0.9487179487179487,0.9278996865203761,156,0.876953125,0.8838582677165354,0.8803921568627451,508,0.7793427230046949,0.7410714285714286,0.7597254004576659,224
area_quartile,Q1_small,dino_factorized,888,457,0.8547297297297297,0.8499480757879941,0.9411764705882353,0.9230769230769231,0.9320388349514563,156,0.8547486033519553,0.9035433070866141,0.8784688995215311,508,0.7878787878787878,0.6964285714285714,0.7393364928909952,224
area_quartile,Q1_small,siglip2,888,457,0.8524774774774775,0.8448689377551393,0.9281045751633987,0.9102564102564102,0.919093851132686,156,0.8436363636363636,0.9133858267716536,0.8771266540642723,508,0.8162162162162162,0.6741071428571429,0.7383863080684596,224
area_quartile,Q1_small,convnext,888,457,0.75,0.7532645894626535,0.8235294117647058,0.8076923076923077,0.8155339805825242,156,0.8494117647058823,0.7106299212598425,0.7738478027867095,508,0.5774193548387097,0.7991071428571429,0.6704119850187266,224
area_quartile,Q2,v1,887,597,0.6324689966178129,0.6589767804012848,0.8817204301075269,0.8159203980099502,0.8475452196382429,201,0.8606271777003485,0.475,0.6121437422552665,520,0.36231884057971014,0.9036144578313253,0.5172413793103449,166
area_quartile,Q2,source_tight_pad,887,597,0.6967305524239008,0.7113935720167938,0.8529411764705882,0.8656716417910447,0.8592592592592593,201,0.9056603773584906,0.5538461538461539,0.6873508353221957,520,0.4273972602739726,0.9397590361445783,0.5875706214689266,166
area_quartile,Q2,dino_tight_svm,887,597,0.8906426155580609,0.8709197147760303,0.9744897959183674,0.9502487562189055,0.9622166246851386,201,0.8923933209647495,0.925,0.9084041548630784,520,0.7763157894736842,0.7108433734939759,0.7421383647798742,166
area_quartile,Q2,dino_context_svm,887,597,0.8782412626832018,0.8573128117942224,0.9587628865979382,0.9253731343283582,0.9417721518987342,201,0.8800738007380073,0.9173076923076923,0.8983050847457628,520,0.7682119205298014,0.6987951807228916,0.7318611987381703,166
area_quartile,Q2,dino_stack,887,597,0.8883878241262683,0.8696969696969697,0.9794871794871794,0.9502487562189055,0.9646464646464646,201,0.8949343339587242,0.9173076923076923,0.905982905982906,520,0.7547169811320755,0.7228915662650602,0.7384615384615385,166
area_quartile,Q2,dino_factorized,887,597,0.8940248027057497,0.8761794244380257,0.9844559585492227,0.945273631840796,0.9644670050761421,201,0.8973880597014925,0.925,0.9109848484848485,520,0.7721518987341772,0.7349397590361446,0.7530864197530864,166
area_quartile,Q2,siglip2,887,597,0.8737316798196166,0.852808639019251,0.9585492227979274,0.9203980099502488,0.9390862944162437,201,0.8777777777777778,0.9115384615384615,0.8943396226415095,520,0.7532467532467533,0.6987951807228916,0.725,166
area_quartile,Q2,convnext,887,597,0.7756482525366404,0.7687305127975778,0.8939393939393939,0.8805970149253731,0.8872180451127819,201,0.8755760368663594,0.7307692307692307,0.7966457023060797,520,0.5137254901960784,0.7891566265060241,0.6223277909738717,166
area_quartile,Q3,v1,887,691,0.6956031567080045,0.7025579620681547,0.9025270758122743,0.922509225092251,0.9124087591240876,271,0.8798283261802575,0.46485260770975056,0.6083086053412463,441,0.4297082228116711,0.9257142857142857,0.5869565217391305,175
area_quartile,Q3,source_tight_pad,887,691,0.7305524239007892,0.7346953732066431,0.9071428571428571,0.9372693726937269,0.9219600725952813,271,0.8992248062015504,0.5260770975056689,0.6638054363376252,441,0.46418338108882523,0.9257142857142857,0.6183206106870229,175
area_quartile,Q3,dino_tight_svm,887,691,0.8568207440811725,0.835943257444657,0.9548872180451128,0.9372693726937269,0.9459962756052142,271,0.8387096774193549,0.8843537414965986,0.8609271523178808,441,0.7435897435897436,0.6628571428571428,0.7009063444108762,175
area_quartile,Q3,dino_context_svm,887,691,0.8568207440811725,0.8360652605448751,0.9368029739776952,0.9298892988929889,0.9333333333333333,271,0.8361702127659575,0.891156462585034,0.862788144895719,441,0.777027027027027,0.6571428571428571,0.7120743034055728,175
area_quartile,Q3,dino_stack,887,691,0.8771138669673055,0.8598222186133464,0.9625468164794008,0.948339483394834,0.9553903345724907,271,0.8662280701754386,0.8956916099773242,0.8807134894091416,441,0.7682926829268293,0.72,0.7433628318584071,175
area_quartile,Q3,dino_factorized,887,691,0.8669673055242391,0.8499261482450612,0.947565543071161,0.933579335793358,0.9405204460966543,271,0.8574561403508771,0.8866213151927438,0.8717948717948718,441,0.7621951219512195,0.7142857142857143,0.7374631268436578,175
area_quartile,Q3,siglip2,887,691,0.85456595264938,0.8350834628726221,0.9363295880149812,0.922509225092251,0.929368029739777,271,0.8354700854700855,0.8866213151927438,0.8602860286028603,441,0.7697368421052632,0.6685714285714286,0.7155963302752294,175
area_quartile,Q3,convnext,887,691,0.8015783540022547,0.7873126061747394,0.8698630136986302,0.9372693726937269,0.9023090586145648,271,0.8387909319899244,0.7551020408163265,0.7947494033412887,441,0.6262626262626263,0.7085714285714285,0.6648793565683646,175
area_quartile,Q4_large,v1,888,804,0.7961711711711712,0.7466357648123975,0.9101123595505618,0.9619952494061758,0.9353348729792148,421,0.9262672811059908,0.5552486187845304,0.694300518134715,362,0.4469026548672566,0.9619047619047619,0.6102719033232629,105
area_quartile,Q4_large,source_tight_pad,888,804,0.8108108108108109,0.7620821244674456,0.9209932279909706,0.9691211401425178,0.9444444444444444,421,0.9417040358744395,0.580110497237569,0.717948717948718,362,0.4594594594594595,0.9714285714285714,0.6238532110091743,105
