budget_people_per_class_minimum,repeats,macro_f1_mean,macro_f1_std,macro_f1_repeat_interval_low,macro_f1_repeat_interval_high,balanced_accuracy_mean,accuracy_mean,selected_images_mean,selected_people_mean
1,20,0.3170327827135906,0.0767787458888507,0.2379076182444304,0.408676581108729,0.3948865864827117,0.33980281690140846,1.0,3.75
5,20,0.541894722391575,0.05553419861493873,0.4260464395933687,0.6042234670954629,0.5465729014584737,0.6082394366197182,4.55,16.25
10,20,0.6180803176500853,0.04065488967275511,0.5404642500303299,0.682189532762776,0.6455808879059409,0.6465492957746478,9.9,32.05
25,20,0.6881741548856778,0.043383310902321864,0.6194963150481922,0.7549524750990693,0.72686852321179,0.6999014084507041,26.65,77.55
50,20,0.7307754267834865,0.02983045505793451,0.6728504819821898,0.7675256412414438,0.7658548136095354,0.7412535211267606,51.95,153.65
100,20,0.7575431797497495,0.027490559166790624,0.6933288908179248,0.7919649439881569,0.7948548322178242,0.7671408450704226,117.7,306.95
