task,candidate,development_nominee,rows,macro_f1,accuracy,errors,log_loss,brier_score,ece,macro_f1_row_ci_low,macro_f1_row_ci_high,macro_f1_source_group_ci_low,macro_f1_source_group_ci_high
polar4,conservative_fusion,True,3329,0.9521101930612774,0.9576449384199459,141,0.13700098378081427,0.06641902537215123,0.03899358501941449,0.9443882495929633,0.9599066804212814,0.9442517990360976,0.9594492947332673
polar4,prior_incumbent,False,3329,0.9474615260668957,0.9534394713127066,155,0.15339902377814185,0.07307464046574404,0.04280652604770441,0.9391828695907742,0.955356921148284,0.9392371288827547,0.9550450683486813
polar4,replacement_fusion,False,3329,0.9569128145540019,0.9618504055271854,127,0.13476344512491908,0.06648143009402968,0.02995500179958716,0.9497602371192292,0.9640322055940588,0.9494131163692888,0.9639097513872423
polar4,frozen_dinov2_base,False,3329,0.9308871462120766,0.9372183838990688,209,0.22409590445211333,0.10606690509339668,0.024931627312882516,0.9216933960767003,0.9394409254205979,0.9215821629094061,0.9397958601787578
polar4,frozen_siglip2_base,False,3329,0.9519075431114248,0.957044157404626,143,0.15331134404744387,0.07176704037420913,0.0247473188790542,0.9440130510751744,0.9596867233036034,0.9439794395789172,0.9593594386115046
polar4,frozen_dinov3_base,False,3329,0.930548797543983,0.9375187744067287,208,0.22085322960303858,0.10765137803471583,0.02667222421959882,0.9210987417059102,0.9392492743955977,0.9212647309874503,0.9397128952935357
polar4,frozen_convnextv2_base,False,3329,0.87748631154586,0.885851607089216,380,0.35761312623577424,0.17982045619832554,0.04333126680740298,0.8658753586912387,0.8883717856494902,0.8659476657726288,0.8884963938329373
polar4,adapted_siglip2,False,3329,0.9522659498800679,0.9576449384199459,141,0.1686052219464934,0.0702902667906087,0.02595265637927406,0.9446625839739475,0.9597468768210601,0.9444892542090724,0.9598403516482129
polar4,adapted_convnextv2,False,3329,0.8939304148587572,0.9029738660258336,323,0.2693047375008216,0.14459896595173977,0.02788845933565036,0.8828429736614034,0.9041777199642217,0.8830945981573176,0.9041355695596388
polar4,historical_ensemble,False,3329,0.9398833285904803,0.9456293181135476,181,0.1563726501599631,0.0838358013583503,0.029057159009995552,0.9312583992148292,0.9479771260334763,0.9314814969310525,0.9481779115646722
polar9,conservative_fusion,True,6984,0.9458307452753512,0.9471649484536082,369,0.16839260667533604,0.08120280721465621,0.022826874737076147,0.9404807990753693,0.9510740091830043,0.940305609621645,0.9511016539742181
polar9,prior_incumbent,False,6984,0.9442529449422832,0.9455899198167239,380,0.2021337969793159,0.09078273866318592,0.044720938747862635,0.9387785083731925,0.9495527198303675,0.938495175431138,0.9495854771429955
polar9,replacement_fusion,False,6984,0.9452666709705768,0.9467353951890034,372,0.17875582999013834,0.08439856667813425,0.017001732343900188,0.9397093675612151,0.950380993401851,0.9397709786249976,0.9506116399200228
polar9,frozen_dinov2_base,False,6984,0.9089166039677509,0.9099369988545246,629,0.3856037419974804,0.16466956993053325,0.07614622707802636,0.9022640777961634,0.9154276793464966,0.9020464232006622,0.9156999827666411
polar9,frozen_siglip2_base,False,6984,0.9191638683650569,0.9189576174112256,566,0.3185909071227705,0.1419280571834921,0.05781575138589653,0.9128133751326102,0.9252284516385415,0.9127974619593933,0.925498916214888
polar9,frozen_dinov3_base,False,6984,0.9119456878005866,0.9129438717067583,608,0.37298271320246507,0.15706080670331735,0.06739964434369215,0.905121458763123,0.9184218942464781,0.9051919347275901,0.9185092634111272
polar9,frozen_convnextv2_base,False,6984,0.8487331082580457,0.8489404352806414,1055,0.5978556005627592,0.26968613783389905,0.10644916897122547,0.8404977378174093,0.856810412462722,0.840271678925235,0.8569461792413301
polar9,adapted_siglip2,False,6984,0.9285315625886505,0.929553264604811,492,0.2469897234079943,0.11217856994908362,0.03280825993076415,0.922391472473722,0.9345486650096141,0.9225083134937266,0.9346298407797317
polar9,adapted_convnextv2,False,6984,0.8551622631170629,0.8562428407789232,1004,0.43705917126462035,0.2138831387532813,0.04223448537072364,0.8466349969367762,0.8633102144687194,0.8469655094312534,0.8636825781416637
polar9,adapted_dinov2,False,6984,0.939042007986438,0.9404352806414662,416,0.3550457481228779,0.10133180712614763,0.039106978428173525,0.9332600853260428,0.9445256849884163,0.9331404216914164,0.9445730080259165
