condition,accuracy,macro_f1,log_loss,mean_confidence,prediction_agreement_with_locked
locked_weights,0.9456293181135476,0.9398833285904803,0.1563726501599631,0.9175438668975859,1.0
equal_weights,0.9453289276058876,0.9395426306977742,0.15771475495483606,0.9162835860371731,0.9975968759387204
leave_out_convnext_small_full,0.9435265845599279,0.937528833723991,0.15555945800289525,0.9245631531153939,0.9852808651246621
leave_out_dinov2_small_moderate,0.942925803544608,0.9371990572235502,0.15864664675066004,0.9173809874529762,0.9891859417242416
leave_out_dinov2_base_top4,0.9438269750675878,0.9378940877715837,0.17060771693467702,0.9092979876550419,0.9804746170021027
leave_out_dinov2_base_multilayer_logistic,0.9432261940522679,0.9370138217246001,0.15936622015239146,0.9198834267952429,0.9909882847702013
leave_out_dinov2_base_multilayer_rbf,0.9438269750675878,0.9380258175843383,0.1535724851053221,0.923085357835806,0.9813757885250826
