family,seed,role,fold_id,artifact_relative_path,checkpoint_sha256,temperature,evaluation_policy
dinov2_small,42,oof_selection,2,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_42_fold02/best_checkpoint.pt,59769a1b41f94dac5320ea2b805a4b1c6eb348583c1ee4548f4be0e609c813fd,1.7006442546844482,center_crop
dinov2_small,52,oof_selection,2,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_52_fold02/best_checkpoint.pt,7bf7af6b9c8c74e656e2538b3ac1b1bcf6149dc7fccb29b17b104304272952e9,1.6539944410324097,center_crop
dinov2_small,62,oof_selection,2,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_62_fold02/best_checkpoint.pt,3403982aa36abb06f61f56f486d79e1f05069e397800384e6b68fb6eb1046504,1.7117834091186523,center_crop
dinov2_small,42,oof_selection,3,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_42_fold03/best_checkpoint.pt,376be9366d48327fc76918384d4cd1d614a02d1449d1dca470f2256e594f7425,1.7006442546844482,center_crop
dinov2_small,52,oof_selection,3,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_52_fold03/best_checkpoint.pt,10e89b82f4fbafdad4235bc66c1727f7cc951f9c1eaae038618455c7fc064687,1.6539944410324097,center_crop
dinov2_small,62,oof_selection,3,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_62_fold03/best_checkpoint.pt,d7d822d8515a80966a05cfe95426fb080385162e67e8683cce29a31936d642b9,1.7117834091186523,center_crop
dinov2_small,42,oof_selection,4,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_42_fold04/best_checkpoint.pt,fe80b44e89a7934220c8ef13f33f5670299bbd4177d82d8f2b10d8423e6ac677,1.7006442546844482,center_crop
dinov2_small,52,oof_selection,4,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_52_fold04/best_checkpoint.pt,24e70821af39e2e126f9bdcd549b6e34922d51857982fa3c9a06b9a97203f264,1.6539944410324097,center_crop
dinov2_small,62,oof_selection,4,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_62_fold04/best_checkpoint.pt,c98ef4877a9f1dd80af1c27cf8169ab2657c7868f9dbe2d900219ab987b87124,1.7117834091186523,center_crop
dinov2_small,42,oof_selection,5,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_42_fold05/best_checkpoint.pt,358fcad888569d09051adefc75845307e6f8c12134ea8ca1ea8e4d1337b7d10e,1.7006442546844482,center_crop
dinov2_small,52,oof_selection,5,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_52_fold05/best_checkpoint.pt,3c3e2f69d0e698ec2580de8c8e10937255373327860c2066f261aabb37a1f91c,1.6539944410324097,center_crop
dinov2_small,62,oof_selection,5,checkpoints/dinov2_small/final_cv_dino_full_d10_seed_62_fold05/best_checkpoint.pt,e36dbfb572805bc0c6005133f1f976f7b2de4fd65b3fce30e5bca8c57108b39f,1.7117834091186523,center_crop
dinov2_small,42,locked_test,,checkpoints/dinov2_small/final_full_dino_full_d10_seed_42/full_pool_checkpoint.pt,c96e53d424ea6c3d6335260d6cae49bb1feb96c0d69e3c9fb280dc14d9d8b5e0,1.7006442546844482,center_crop
dinov2_small,52,locked_test,,checkpoints/dinov2_small/final_full_dino_full_d10_seed_52/full_pool_checkpoint.pt,bccc62aabc3ae89f6e69af4b4f99bb15c4664f41759b6b78c96db86129ef3352,1.6539944410324097,center_crop
dinov2_small,62,locked_test,,checkpoints/dinov2_small/final_full_dino_full_d10_seed_62/full_pool_checkpoint.pt,3c1b564fb2251a37ffb896b61f2583f48a374e959377fe5e07a57f2f8d946b19,1.7117834091186523,center_crop
