family,bbox_area_quartile,rows,target_accuracy,person_attribution_mass,person_attribution_mass_lift,pointing_game,deletion_selectivity_gap,person_minus_context_occlusion_drop,full_crop_js_divergence,target_vs_alternative_spearman
convnext_small_full,Q1,64,0.875,0.47676534238686197,4.9163792878226795,0.78125,0.21830217876336774,0.43347898901023046,0.09128916649626534,-0.37468405892790574
convnext_small_full,Q2,64,0.90625,0.7135580458090809,2.017559654970995,0.90625,0.19164408196250327,0.2654326009721141,0.04395303802048285,-0.4802170835814299
convnext_small_full,Q3,64,0.953125,0.7431686114914481,1.4123353823549458,0.890625,0.11428342122277044,0.16920603221539446,0.021898798833495107,-0.5230187043794927
convnext_small_full,Q4,64,0.859375,0.8305550947050185,1.1253232833195708,0.859375,0.1292147519318746,0.0609238347419167,0.015264748326785078,-0.5872333599084546
dinov2_base_top4,Q1,64,0.96875,0.8084890787424095,1.0832714913993577,0.84375,0.0720920607215703,0.029082118463217416,0.04172406575285774,0.930861840429444
dinov2_base_top4,Q2,64,0.921875,0.8326148240529031,1.0992529219654525,0.828125,0.07123132565199054,0.012122148623651196,0.027854552790634892,0.9310489922551338
dinov2_base_top4,Q3,64,0.96875,0.8497365963805331,1.1161507583332275,0.8125,0.03497387118403215,0.0017691065246860204,0.015078773593133112,0.9412659590165312
dinov2_base_top4,Q4,64,0.953125,0.9005387427528607,1.0815129981699183,0.828125,0.05431686620664398,0.006375966513509386,0.009122622816947841,0.9333077958592295
