task,candidate,classifier,C,class_weight,feature_dimensions,train_rows,validation_rows,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,fit_seconds,iterations,screen,converged
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,100.0,balanced,1536,9958,3327,0.9326720769461978,0.9326576086157744,0.9327270754861944,0.9324016769065434,1.1042453374637002,0.1294545044920047,0.0636292160512276,2.290812499995809,63,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,1.0,none,1536,9958,3327,0.9329726480312592,0.9326312891904932,0.9329037260570878,0.9325898980067724,0.4345257806305942,0.1195970391353925,0.0550028367880196,3.3962010000250302,163,capacity_base,True
label_3,fusion__convnext_small__full_frame__dinov2_base__full_frame,standardized_multinomial_logistic,0.01,balanced,1536,9958,3327,0.9326720769461978,0.9324786384015812,0.9329927265949074,0.9336652574163068,0.1739688027191262,0.0990158226488073,0.0117805024963486,2.410606399993412,107,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,100.0,none,1536,9958,3327,0.9323715058611362,0.9324451406147456,0.9324067905452276,0.9324212847496806,1.0737404847373635,0.1292347874954832,0.0638262392874414,2.343765199999325,71,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,1.0,balanced,1536,9958,3327,0.9326720769461978,0.9324120414502416,0.932653041259764,0.9326436320133018,0.4337453019906774,0.1192373697158296,0.0549605682777573,3.5219815999735147,154,capacity_base,True
label_3,fusion__convnext_small__full_frame__dinov2_base__full_frame,standardized_multinomial_logistic,0.01,none,1536,9958,3327,0.9329726480312592,0.9323550762592684,0.9330112769004808,0.9318071557475108,0.1739320762411533,0.098245458325761,0.0145404117802825,2.526781100023072,107,capacity_base,True
label_3,dinov2_base__person_context_25,standardized_multinomial_logistic,0.01,none,768,9958,3327,0.9326720769461978,0.9321008712661062,0.9323896369040928,0.931169454751911,0.1735503912035567,0.100940484649404,0.0126219799648429,1.543313300004229,83,capacity_base,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.0001,balanced,3840,9958,3327,0.9323715058611362,0.9317598084478352,0.9325878478123678,0.932446803333536,0.2283370468067266,0.11548063644846,0.0837916916810093,2.415010299999267,82,official_multilayer,True
label_3,fusion__dinov2_base__person_context_25__dinov2_small__person_context_25,standardized_multinomial_logistic,0.01,balanced,1152,9958,3327,0.931770363691013,0.9316884061537486,0.9317785129705094,0.9324263742725633,0.1707426867516439,0.0999103269154401,0.0131363777203464,1.3921241000061857,105,capacity_base,True
label_3,fusion__convnext_small__person_context_25__dinov2_base__person_context_25,standardized_multinomial_logistic,0.01,balanced,1536,9958,3327,0.9311692215208895,0.9309977974025104,0.9311056320894604,0.9313498894904394,0.1822351140734608,0.1048803245815381,0.0186157667789023,1.813122800027486,125,capacity_base,True
