domain,evaluation_unit,candidate,bbox_quartile,rows,accuracy,macro_f1,log_loss,mean_confidence,spearman_bbox_area_correctness,spearman_bbox_area_confidence
POLAR,image,convnext_small_full,Q1,833,0.8571428571428571,0.8629823565366943,0.40810294925426366,0.9086217634330895,0.08476987184168362,0.20717577331729278
POLAR,image,convnext_small_full,Q2,832,0.9014423076923077,0.889533811762309,0.31899027847169337,0.9416971938336461,0.08476987184168362,0.20717577331729278
POLAR,image,convnext_small_full,Q3,832,0.9182692307692307,0.9096737576727609,0.23815415929146744,0.9533154451036575,0.08476987184168362,0.20717577331729278
POLAR,image,convnext_small_full,Q4,832,0.9206730769230769,0.8939638834257106,0.26695272754697047,0.9577253026399183,0.08476987184168362,0.20717577331729278
POLAR,image,dinov2_small_moderate,Q1,833,0.8715486194477791,0.8821382935907224,0.3585707378581815,0.9218110709310212,0.13858461766329966,0.2432322204373306
POLAR,image,dinov2_small_moderate,Q2,832,0.9110576923076923,0.89874868328643,0.27186410049906834,0.9487644748111747,0.13858461766329966,0.2432322204373306
POLAR,image,dinov2_small_moderate,Q3,832,0.9362980769230769,0.9297577455509042,0.2076085687312666,0.9651039001982097,0.13858461766329966,0.2432322204373306
POLAR,image,dinov2_small_moderate,Q4,832,0.9651442307692307,0.9517148436936637,0.11756270463807894,0.9650520270226768,0.13858461766329966,0.2432322204373306
POLAR,image,dinov2_base_top4,Q1,833,0.8979591836734694,0.9059048692090983,0.3052319118777491,0.9556328500909209,0.1061597109576776,0.20517351373465648
POLAR,image,dinov2_base_top4,Q2,832,0.921875,0.9101869061055377,0.25370744072580675,0.9715039696777935,0.1061597109576776,0.20517351373465648
POLAR,image,dinov2_base_top4,Q3,832,0.9519230769230769,0.9466080362305129,0.18703339493888457,0.9796390311165631,0.1061597109576776,0.20517351373465648
POLAR,image,dinov2_base_top4,Q4,832,0.9591346153846154,0.9407980194772415,0.12305070397242854,0.9794319606341463,0.1061597109576776,0.20517351373465648
POLAR,image,dinov2_base_multilayer_logistic,Q1,833,0.8991596638655462,0.9070519447533084,0.26458541977136507,0.8738323388869836,0.09693810089549165,0.3239259867324629
POLAR,image,dinov2_base_multilayer_logistic,Q2,832,0.9182692307692307,0.9070359319754292,0.19621662131851952,0.9174539751695593,0.09693810089549165,0.3239259867324629
POLAR,image,dinov2_base_multilayer_logistic,Q3,832,0.9543269230769231,0.9484691076257059,0.13733447472905144,0.9434321952193092,0.09693810089549165,0.3239259867324629
POLAR,image,dinov2_base_multilayer_logistic,Q4,832,0.9579326923076923,0.9435189536986817,0.10717237022843455,0.948742930369374,0.09693810089549165,0.3239259867324629
POLAR,image,dinov2_base_multilayer_rbf,Q1,833,0.9015606242496998,0.9089138155319569,0.30914833093736666,0.8915693283710495,0.1021838043173964,0.2753932998396859
POLAR,image,dinov2_base_multilayer_rbf,Q2,832,0.9254807692307693,0.9147208105997985,0.25466164932321195,0.9112505892034324,0.1021838043173964,0.2753932998396859
POLAR,image,dinov2_base_multilayer_rbf,Q3,832,0.9447115384615384,0.9369170093284357,0.1926973248340852,0.9259886330864486,0.1021838043173964,0.2753932998396859
POLAR,image,dinov2_base_multilayer_rbf,Q4,832,0.9651442307692307,0.9492371132438324,0.15554248482511174,0.9335445845921317,0.1021838043173964,0.2753932998396859
POLAR,image,locked_ensemble,Q1,833,0.9339735894357744,0.9394398616254757,0.2087397105583704,0.8706380919856966,0.06610042962304827,0.3127806435789995
POLAR,image,locked_ensemble,Q2,832,0.9314903846153846,0.9211040303349601,0.1742988295586074,0.9160020015553846,0.06610042962304827,0.3127806435789995
POLAR,image,locked_ensemble,Q3,832,0.9519230769230769,0.9460698453126526,0.13706547561646928,0.9405225916980566,0.06610042962304827,0.3127806435789995
POLAR,image,locked_ensemble,Q4,832,0.9651442307692307,0.9518076419284234,0.10532364372804182,0.9430691594845135,0.06610042962304827,0.3127806435789995
V-COCO,person,convnext_small_full,Q1,1660,0.48493975903614456,0.508696003698427,2.2550244206973438,0.8545856380367468,0.18479232884191354,0.18086744209223876
V-COCO,person,convnext_small_full,Q2,1660,0.6066265060240964,0.6188626847640172,1.9738218787975974,0.8958584262287516,0.18479232884191354,0.18086744209223876
V-COCO,person,convnext_small_full,Q3,1660,0.6560240963855422,0.6581083486578676,1.897288410541882,0.9137360881605758,0.18479232884191354,0.18086744209223876
V-COCO,person,convnext_small_full,Q4,1660,0.7253012048192771,0.6786801822207064,1.460025082084724,0.9085840374781399,0.18479232884191354,0.18086744209223876
V-COCO,person,dinov2_small_moderate,Q1,1660,0.5578313253012048,0.6084913748032189,1.858994559271087,0.8844921170530474,0.1551074739033072,0.14909886062029518
V-COCO,person,dinov2_small_moderate,Q2,1660,0.6240963855421687,0.6521462147454725,1.698463293069756,0.9012656832438809,0.1551074739033072,0.14909886062029518
