rank,selected,candidate,seed_count,seed_mean_macro_f1,seed_std_macro_f1,seed_mean_log_loss,seed_mean_ece,seed_mean_runtime_seconds,median_best_epoch,aggregate_accuracy,aggregate_balanced_accuracy,aggregate_brier_score,aggregate_ece,aggregate_log_loss,aggregate_macro_f1,aggregate_weighted_f1,difference_from_seed_mean_leader,inside_practical_tie
1,True,dinov2_small_context25_top4,3,0.9139618322743662,0.0028680713866275002,0.3618624339778546,0.052213237331189065,810.7480747666754,12,0.9233543733092876,0.918032725273174,0.1213060301142138,0.0381006897108169,0.26089754013084465,0.9184965296422818,0.923638471789058,0.0006173100639559337,True
2,False,dinov2_small_context25_full_moderate,3,0.9145791423383222,0.004878091540245384,0.270975060020983,0.04017743271560732,832.0142755999696,12,0.9245566576495341,0.9190679568570426,0.11871797333127734,0.03364265080390902,0.23525635045754822,0.9193700789470549,0.9247578537623046,0.0,True
3,False,dinov2_small_context25_full_wd001,3,0.9126837126215631,0.005482568956011765,0.3220232792469784,0.04989582241947096,810.2248427000013,12,0.9203486624586715,0.9141111688853256,0.1260958531770851,0.03933451395849635,0.2674230406143954,0.9151666350852629,0.9205622889542361,0.001895429716759045,True
4,False,dinov2_small_context25_full_dropout02,3,0.9134415718525224,0.006128135976744612,0.32816581313854526,0.05019214478395088,878.0679474999779,13,0.9209498046287947,0.9151696342386564,0.12672601134110129,0.039679032350816115,0.26784940419534203,0.9158147853552662,0.9211326686755272,0.001137570485799766,True
5,False,dinov2_small_context25_full_ld075,3,0.9125718514608536,0.005499115078392705,0.32266328905943126,0.05045540288924181,842.517955766661,12,0.9203486624586715,0.9141111688853256,0.1261316571623738,0.03932599598307726,0.26774007908827974,0.9151666350852629,0.9205622889542361,0.002007290877468537,False
6,False,dinov2_small_context25_full_ls005,3,0.9102990336676017,0.0035384159062325335,0.25791459972138214,0.018668639251967798,747.6327346000083,10,0.919146378118425,0.9121552782608433,0.1247961996973299,0.02346057732283778,0.2453529100956704,0.9133774989551584,0.918954211543728,0.004280108670720484,False
