requested_train_size,actual_train_size,seeds,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std,ece_mean,fit_seconds_mean
242,242,3,0.8486514825395157,0.0,0.8590321611061015,0.0,0.40718932018728116,0.0,0.061561543236093245,0.10905226667334016
500,500,3,0.8717569537008552,0.0,0.8809738503155996,0.0,0.33893058568856654,0.0,0.04092511392431154,0.12992883333936334
1000,1000,3,0.8810183557713623,0.0,0.8914938382927562,0.0,0.300012875547846,0.0,0.018168502489261964,0.2030005333169053
3000,3000,3,0.8979914556986094,0.0,0.9062218214607755,0.0,0.25110399904746006,0.0,0.01249450582791016,0.6890722666867077
all,9958,3,0.9150201390317813,0.0,0.9221520889690412,0.0,0.2167554628124094,0.0,0.016343653523593352,3.33281953332092
