family,condition,level,fault_seed,realized_bit_flips,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,prediction_agreement_with_clean,mean_absolute_probability_drift,max_absolute_probability_drift,mean_absolute_locked_probability_error,quantization_scale_mean
convnext_small_full,clean_float,0.0,none,0,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3946473423965794,0.16350867041587244,0.05611386425453395,1.0,0.0,0.0,5.2898333229191994e-06,
convnext_small_full,uint8_input_bit_flip_rate,0.0,20260822,0,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3946473423965794,0.16350867041587244,0.05611386425453395,1.0,0.0,0.0,,
convnext_small_full,uint8_input_bit_flip_rate,0.0,20260823,0,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3946473423965794,0.16350867041587244,0.05611386425453395,1.0,0.0,0.0,,
convnext_small_full,uint8_input_bit_flip_rate,0.0,20260824,0,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3946473423965794,0.16350867041587244,0.05611386425453395,1.0,0.0,0.0,,
convnext_small_full,uint8_input_bit_flip_rate,0.0,aggregate,0,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3946473423965794,0.16350867041587244,0.056113864254533935,1.0,1.0725685869238797e-17,2.220446049250313e-16,,
convnext_small_full,uint8_input_bit_flip_rate,1e-05,20260822,3083,0.90234375,0.9026600327966607,0.9026600327966607,0.90234375,0.3925861226982336,0.1636298989839721,0.055392836489326774,0.99609375,0.0013240612244142563,0.0634029365205648,,
convnext_small_full,uint8_input_bit_flip_rate,1e-05,20260823,3083,0.90234375,0.9026600327966607,0.9026600327966607,0.90234375,0.39573647399203943,0.16327994660325595,0.05743903872948015,0.99609375,0.0010819376878887827,0.06514054646366996,,
convnext_small_full,uint8_input_bit_flip_rate,1e-05,20260824,3083,0.90625,0.9064990458015267,0.9064990458015267,0.90625,0.39272803840119486,0.16408729301842426,0.060200454962347896,0.9921875,0.0015793103884949946,0.15817237518463848,,
convnext_small_full,uint8_input_bit_flip_rate,1e-05,aggregate,3083,0.90234375,0.9026600327966607,0.9026600327966607,0.90234375,0.39345310971487735,0.16359054623728747,0.05672077812320169,0.99609375,0.0010508337353310223,0.07766185734582084,,
convnext_small_full,uint8_input_bit_flip_rate,0.0001,20260822,30828,0.90234375,0.902689847942755,0.902689847942755,0.90234375,0.3755601791488835,0.16065058437514623,0.054019418253629055,0.9921875,0.004821207563512478,0.2772275517803119,,
convnext_small_full,uint8_input_bit_flip_rate,0.0001,20260823,30828,0.90625,0.9064990458015267,0.9064990458015267,0.90625,0.3855271610003171,0.16593677886601235,0.05638279255663353,0.9921875,0.005043654571053715,0.30161868935074965,,
convnext_small_full,uint8_input_bit_flip_rate,0.0001,20260824,30828,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.38011028638601707,0.16355361965337975,0.04924968541957234,1.0,0.004697355356787892,0.24908061006070914,,
convnext_small_full,uint8_input_bit_flip_rate,0.0001,aggregate,30828,0.90234375,0.9026600327966607,0.9026600327966607,0.90234375,0.3790197514298912,0.16296421378801532,0.05143621882892552,0.99609375,0.003938436773905554,0.2759756170639236,,
convnext_small_full,uint8_input_bit_flip_rate,0.001,20260822,308281,0.8984375,0.8990456715481531,0.8990456715481531,0.8984375,0.3711916168213271,0.16884717452964007,0.06315030527148252,0.98046875,0.013167995127717954,0.540319144295892,,
convnext_small_full,uint8_input_bit_flip_rate,0.001,20260823,308281,0.90234375,0.902695481490574,0.902695481490574,0.90234375,0.3883391683614882,0.1711100757044751,0.07053271916781563,0.98046875,0.013871433532534026,0.5881469913131109,,
convnext_small_full,uint8_input_bit_flip_rate,0.001,20260824,308281,0.90234375,0.902786335518436,0.902786335518436,0.90234375,0.38546940566430843,0.170486653026122,0.0572713494904007,0.98828125,0.013554117776011738,0.5454998673785322,,
convnext_small_full,uint8_input_bit_flip_rate,0.001,aggregate,308281,0.8984375,0.8989897032101757,0.8989897032101757,0.8984375,0.37609002132536207,0.16882989441311572,0.058117212970431285,0.984375,0.012065434914178781,0.5579886676625117,,
convnext_small_full,symmetric_int8_head_weight_bit_flips,0.0,20260822,0,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.39477247572713947,0.16356143911166326,0.05611218696309768,1.0,8.158183872215156e-05,0.0018152557074614384,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,0.0,20260823,0,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.39477247572713947,0.16356143911166326,0.05611218696309768,1.0,8.158183872215156e-05,0.0018152557074614384,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,0.0,20260824,0,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.39477247572713947,0.16356143911166326,0.05611218696309768,1.0,8.158183872215156e-05,0.0018152557074614384,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,0.0,aggregate,0,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.39477247572713947,0.16356143911166324,0.05611218696309768,1.0,8.158183872215372e-05,0.0018152557074613274,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,1.0,20260822,3,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3947041639732578,0.16354278491278565,0.05611052902443127,1.0,8.866805676474203e-05,0.0019682711530236707,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,1.0,20260823,3,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3947872386732128,0.1635729282192469,0.05612645723366279,1.0,9.078636373091218e-05,0.0023924985739734728,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,1.0,20260824,3,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3948115637263404,0.16367279455359876,0.05198821900851545,1.0,0.00018016007817639598,0.007663913131021993,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,1.0,aggregate,3,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3947653952872083,0.1635958018465152,0.05612271957378463,1.0,0.00010807091132719219,0.002687417369475198,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,4.0,20260822,12,0.89453125,0.8949829404466502,0.8949829404466502,0.89453125,0.395142013746111,0.1637246285021882,0.06007384844245747,0.99609375,0.00020683973177438664,0.014877792801054446,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,4.0,20260823,12,0.90234375,0.9026600327966607,0.9026600327966607,0.90234375,0.3933735908935294,0.16343194101376018,0.05118493615058112,0.99609375,0.0004976447910944022,0.022386752466111548,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,4.0,20260824,12,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.3938354087164191,0.1634288199357018,0.05719640649370132,1.0,0.00047414490256443966,0.013650728389840605,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,4.0,aggregate,12,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.39408171394050906,0.1635222331220504,0.05174372983256037,1.0,0.000278666513527059,0.0074404773451622885,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,16.0,20260822,48,0.90234375,0.9026600327966607,0.9026600327966607,0.90234375,0.39220556686508945,0.16286943310524515,0.04783031727751711,0.99609375,0.0011302074440907857,0.0293995674685541,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,16.0,20260823,48,0.90234375,0.9026600327966607,0.9026600327966607,0.90234375,0.3923400770918337,0.1632294937673473,0.05539079094536417,0.99609375,0.0011421549642674255,0.030122051697024643,,0.0010114772895502605
convnext_small_full,symmetric_int8_head_weight_bit_flips,16.0,20260824,48,0.8984375,0.8988138789505069,0.8988138789505069,0.8984375,0.39522956472271487,0.16388699634173515,0.06262363567922262,1.0,0.0014442896770834282,0.05452714562572125,,0.0010114772895502605
