actual_train_size,macro_f1,fit_seconds,recorded_rows,unique_subset_hashes,unique_macro_f1
242,0.8486514825395157,0.1088588000275194,3,1,1
500,0.8717569537008552,0.1253687000134959,3,1,1
1000,0.8810183557713624,0.1985635999590158,3,1,1
3000,0.8979914556986094,0.678710600011982,3,1,1
9958,0.9150201390317813,3.364784999983385,3,1,1
