family,C,class_weight,inner_accuracy,inner_macro_f1,inner_balanced_accuracy,inner_fit_seconds,gamma_multiplier,shrinkage
linear_svm,0.0001,balanced,0.900080337417152,0.8918792692137277,0.8914035114673385,11.938086899986956,,
linear_svm,0.0001,none,0.8994778067885117,0.8906486254439091,0.8896122172729161,11.349500899959821,,
linear_svm,0.001,balanced,0.8987748543884314,0.8904055980340106,0.8901831949599142,15.824740900017787,,
linear_svm,0.001,none,0.8989756979313115,0.8903056109952052,0.8895379249570472,13.728834000008646,,
linear_svm,0.01,none,0.883410323358104,0.8730201987147402,0.8728813402887081,31.466662199993152,,
linear_svm,0.01,balanced,0.8827073709580237,0.8724963569451951,0.8724623416425039,31.771404099999927,,
linear_svm,0.1,balanced,0.8649327174131352,0.8537772828229877,0.8540853134488291,101.0091623000335,,
linear_svm,0.1,none,0.864531030327375,0.8532737185179329,0.8535260379176871,95.55894680001074,,
linear_svm,1.0,balanced,0.858405302269532,0.8473521214757123,0.8475663059348992,142.0257896000403,,
linear_svm,1.0,none,0.8566981321550512,0.8455707750340017,0.845942394962205,188.8459959999891,,
multinomial_logistic,0.001,balanced,0.9081140791323559,0.9012270397569767,0.9016205394098246,1.9478864999837242,,
multinomial_logistic,0.001,none,0.9081140791323559,0.9004231817230036,0.899638284676753,1.856080600002315,,
multinomial_logistic,0.01,balanced,0.9049005824462744,0.8975752749965356,0.8977555236533279,3.1500128000043333,,
multinomial_logistic,0.01,none,0.9043984735890741,0.8966299561330899,0.8961678076542036,3.1296702999970876,,
multinomial_logistic,0.1,none,0.8968668407310705,0.8885465397308372,0.8883793360624185,4.729662899975665,,
multinomial_logistic,0.1,balanced,0.8962643101024302,0.8880455105603815,0.8880971047089128,5.305548099975567,,
multinomial_logistic,1.0,none,0.8905402691303475,0.881606222978622,0.8815316481090958,4.276935499976389,,
multinomial_logistic,1.0,balanced,0.8900381602731472,0.8812823959149825,0.8813915839781943,4.789967399963643,,
rbf_svm,10.0,none,0.918859208676441,0.9123112074511114,0.9114072175707405,126.24873359996127,1.0,
rbf_svm,10.0,balanced,0.918859208676441,0.9123112074511114,0.9114072175707405,124.43015779997222,1.0,
rbf_svm,100.0,none,0.918859208676441,0.9123112074511114,0.9114072175707405,125.98795340000652,1.0,
rbf_svm,100.0,balanced,0.918859208676441,0.9123112074511114,0.9114072175707405,126.14650450000772,1.0,
rbf_svm,1.0,none,0.9164490861618799,0.9096125910610875,0.9084643983296097,113.29630849999376,1.0,
rbf_svm,1.0,balanced,0.9158465555332396,0.9095491543313317,0.909302572942478,108.99817679997068,1.0,
rbf_svm,10.0,none,0.910423779875477,0.903082215557713,0.9025630568937226,101.71029700001236,0.25,
rbf_svm,1.0,balanced,0.9093191403896365,0.9028634008113893,0.9032725232660481,78.974264999968,0.25,
rbf_svm,10.0,balanced,0.9099216710182768,0.9025494966773656,0.902168075518237,104.19266479997896,0.25,
rbf_svm,1.0,none,0.9086161879895561,0.9010910862408973,0.8998766145109101,69.90292490000138,0.25,
rbf_svm,100.0,none,0.9080136573609159,0.9004255510139714,0.8996163738059665,113.33456750004552,0.25,
rbf_svm,100.0,balanced,0.9080136573609159,0.9004255510139714,0.8996163738059665,115.1650052999612,0.25,
rbf_svm,10.0,none,0.8309901586663989,0.8205800656756226,0.8108665934282557,319.7282863999717,4.0,
rbf_svm,10.0,balanced,0.8309901586663989,0.8205800656756226,0.8108665934282557,315.6994570000097,4.0,
rbf_svm,100.0,none,0.8309901586663989,0.8205800656756226,0.8108665934282557,312.96833750000224,4.0,
rbf_svm,100.0,balanced,0.8309901586663989,0.8205800656756226,0.8108665934282557,321.7146295000566,4.0,
rbf_svm,1.0,balanced,0.8204458726651939,0.8131711741729772,0.802654473397423,294.3741975000012,4.0,
rbf_svm,1.0,none,0.8185378590078329,0.8059311793361374,0.7957200840981563,304.45967399998335,4.0,
shrinkage_lda,,,0.9032938341032336,0.8964346619810843,0.8958022796186946,3.0749092000187375,,0.5
shrinkage_lda,,,0.9029925687889134,0.8960369878606664,0.8954741967528512,3.010184000013396,,0.1
shrinkage_lda,,,0.8989756979313115,0.8915597756791729,0.8909071038348843,4.042472600005567,,auto
shrinkage_lda,,,0.8932516569592288,0.8853807179958976,0.884839737085646,3.0663150000036694,,0.01
