family,true_label,bbox_area_quartile,person_attribution_mass,person_attribution_mass_lift,person_minus_context_occlusion_drop,deletion_selectivity_gap
convnext_small_full,running,Q1,0.52446961592738,6.204443887389352,0.3796845282583187,0.1863737707443458
convnext_small_full,running,Q2,0.8267053592090828,2.2087500806784357,0.17481484217569232,0.1431633816269823
convnext_small_full,running,Q3,0.8927562013915331,1.6865037742388609,0.11006051131213701,0.15599904801826295
convnext_small_full,running,Q4,0.9082807272822873,1.192279360721454,-0.05346136556731329,0.05975308239576406
convnext_small_full,sitting,Q1,0.6815429025775458,4.625193100292443,0.5473674057381382,0.22271349264428864
convnext_small_full,sitting,Q2,0.7901442672560139,2.3793496928459414,0.42979793188957655,0.2165631944111889
convnext_small_full,sitting,Q3,0.8796801391166045,1.6397862921264326,0.22397264805719413,0.15653683159401627
convnext_small_full,sitting,Q4,0.9235213388032066,1.1469003915159421,0.04336281741658845,0.1963161200588123
convnext_small_full,standing,Q1,0.27468745545000406,3.2403072775755457,0.37261638064713526,0.2640973942838457
convnext_small_full,standing,Q2,0.6708196030890712,1.7491033314449622,0.35691249203470454,0.1983324998270291
convnext_small_full,standing,Q3,0.6845625015234486,1.3534139635093025,0.2799286219912271,0.02645944914159677
convnext_small_full,standing,Q4,0.8077732492536256,1.1780535165382289,0.1071299212053418,0.12544009555325222
convnext_small_full,walking,Q1,0.42636139559251807,5.595572886033378,0.4342476413973297,0.20002405738099088
convnext_small_full,walking,Q2,0.5665629536821559,1.7330355149146408,0.100205137788483,0.20851725198481288
convnext_small_full,walking,Q3,0.5156756039342065,0.9696374995451872,0.06286234750101966,0.11813835613720589
convnext_small_full,walking,Q4,0.6826450634809544,0.9840598645026579,0.13841732731088996,0.13534970971966992
dinov2_base_top4,running,Q1,0.8249325570827204,1.0887667527878933,-0.0035504860182603223,0.10855778815057424
dinov2_base_top4,running,Q2,0.8711554561395404,1.146762549091051,-0.02326964276532332,0.07986953862370383
dinov2_base_top4,running,Q3,0.8492909387163308,1.1025669947840389,-0.0016829868157704625,0.028595753417660838
dinov2_base_top4,running,Q4,0.9127580279320543,1.0852568954523925,-0.00019671652052138572,0.04606590565623875
dinov2_base_top4,sitting,Q1,0.7723802028032001,1.079871188116751,0.0004705426593621456,0.025306685486187502
dinov2_base_top4,sitting,Q2,0.8310683385152483,1.1110507649788344,0.0006183907389640669,0.018645995623470926
dinov2_base_top4,sitting,Q3,0.8252312239250029,1.0975109420310405,0.006163886437813466,0.038100812922736364
dinov2_base_top4,sitting,Q4,0.9080862863856399,1.038323118614597,0.0190894543296761,0.03502686556093976
dinov2_base_top4,standing,Q1,0.8022690092520867,1.065811584734984,0.06966327988387394,0.04064915770820035
dinov2_base_top4,standing,Q2,0.8136594716522646,1.0753571612833728,0.021480561544497807,0.006266443586597802
dinov2_base_top4,standing,Q3,0.8487138294899101,1.12219840744161,0.0017879009246826033,0.003909827345826927
dinov2_base_top4,standing,Q4,0.9129405030486161,1.117043317713106,0.04712881458302338,0.03548699572759992
dinov2_base_top4,walking,Q1,0.834374545831631,1.098636439957803,0.04974513732789396,0.11385461154131919
dinov2_base_top4,walking,Q2,0.8145760299045591,1.0638412125085521,0.04965928497646625,0.18014332477418973
dinov2_base_top4,walking,Q3,0.8757103933908887,1.142326689076221,0.000807625552018465,0.06928909104990452
dinov2_base_top4,walking,Q4,0.8683701536451324,1.0854286608995778,-0.04013388603925704,0.10068769788179754
