run_id,augmentation,backbone_lr,batch_size,class_balance,dropout,effective_batch_size,grad_accum_steps,gradient_clip,head_lr,label_smoothing,layer_decay,max_epochs,min_epochs,mixup_alpha,model_kind,patience,run_role,seed,task,top_n_blocks,train_size,unfreeze_strategy,view,warmup_fraction,weight_decay,workers,train_rows,validation_rows,best_epoch,epochs_completed,stopped_early,accuracy,balanced_accuracy,brier_score,ece,log_loss,macro_f1,weighted_f1,parameters_total,parameters_trainable,runtime_seconds,checkpoint_sha256,request_sha256,git_revision_at_start,implementation_hash_count,summary_sha256,test_rows_read
capacity/dinov2_base_context25_full_ld075_seed42,mild,5e-06,8,unweighted,0.1,64,8,1.0,0.001,0.0,0.75,20,3,0.0,dinov2_base,4,adaptation_screen,42,label_4,,all,full_backbone,person_context_25,0.1,0.0001,4,9958,3327,7,11,True,0.92936579501052,0.9257064621265817,0.12081881653840132,0.05008492420918619,0.3225778699596478,0.9245374926792546,0.9298553953552241,86583556,86583556,1498.7515099999728,44e3c69056eea941fc7437302850db4775cb6e7c3d7025056d810a78b2f8ac4d,8ab00b622298c7f83d175722408eaf7dcce7e6c3cc85fea5f0ebfd3fa8a7ba5e,4407c897e35245bdebaa6ab52a4f22e22dfb84bb,12,11e8738b801344afee92c88943a57ced6de95d2f741699442e6c6399d3d0765d,0
capacity/dinov2_base_context25_top4_seed42,mild,5e-06,16,unweighted,0.1,64,4,1.0,0.001,0.0,,20,3,0.0,dinov2_base,4,adaptation_screen,42,label_4,4.0,all,top_blocks,person_context_25,0.1,0.0001,4,9958,3327,7,11,True,0.9296663660955816,0.9231890277980399,0.12124790766298225,0.05026354174242245,0.3181086338088078,0.9240281821877031,0.9298331250518941,86583556,28386820,1186.025136500015,bd238cf9e4d0523d054e6c8b9978b249a59c8f07943b396264d31d48948dc27f,c69ecdd4aaef6d7ed5059d0d6121f71096f8fd14765972eb6a58bc0ba3da8061,4407c897e35245bdebaa6ab52a4f22e22dfb84bb,12,e7934735d23799863e8b63422ed893164259e097caf13d3bc4f16005202db3ec,0
adaptation/dinov2_small_context25_full_ld075_seed42,mild,5e-06,32,unweighted,0.1,64,2,1.0,0.001,0.0,0.75,20,3,0.0,dinov2_small,4,adaptation_screen,42,label_4,,all,full_backbone,person_context_25,0.1,0.0001,4,9958,3327,12,16,True,0.9230538022242261,0.9179946094255098,0.1312271472083472,0.04912987883649705,0.32479720251249306,0.9183684421397926,0.923276668074186,22058116,22058116,1072.8847599999863,850b065f02f036dd0e2090060eb89eb091d09867235d9c74fcd70aac5d988f2c,054d02758971779a8cb3c00858e55d6b3752284c5705abbcac310418cdf13be7,5c2b564113da927c75e9e972b2c30f1d1ba5d435,12,61494f008ecba4b00fea22dcb04c98428e3ec0901eabb80b23e714f376c13c00,0
adaptation/dinov2_small_context25_top4_seed42,mild,5e-06,32,unweighted,0.1,64,2,1.0,0.001,0.0,,30,3,0.0,dinov2_small,4,adaptation_screen,42,label_4,4.0,all,top_blocks,person_context_25,0.1,0.0001,4,9958,3327,16,20,True,0.9215509467989179,0.916813414462532,0.13950112229008996,0.059232976782796654,0.4451491834733461,0.9168353139328662,0.9219786319659864,22058116,7115524,1184.1515550000477,625364d2aa159a06e76b0e442ec8b1fd911b57f54eefb6e2885e9e3186263a4c,d5ba60cfe1eec6d07560c25d14601350c9a4a073b6dfe829f508e27b6daadc0c,dc614c4eb922e69dab88e85b0644b1c1b75434f2,10,abb2d492c229f9f31a875c120d8a08991ab714c7deb4149bd75f1bda4a1c34a3,0
adaptation/convnext_small_full_backbone_ld070_seed42,mild,3e-05,16,unweighted,0.1,64,4,1.0,0.001,0.0,0.7,20,3,0.0,convnext_small,4,adaptation_screen,42,label_4,,all,full_backbone,full_frame,0.1,0.0001,4,9958,3327,17,20,False,0.8975052599939886,0.8920765394658493,0.16781042400527013,0.061133680310386976,0.39519532604390484,0.8919846094287402,0.8974919192292613,49457764,49457764,1798.826004499977,68298b3861850a8b4b538bd3849fc0ba5de01e4431e1853067fd9132f93181ed,515f2b6359ef74425c7adf8b0b0d2f9ce8e5878aa2987f9167c3325623838fbe,5c2b564113da927c75e9e972b2c30f1d1ba5d435,12,d35ca1fc2e6d804ba5891221921883214a755d567e4542a4c1a54ceb359943e8,0
adaptation/dinov2_small_context25_probe_seed42,mild,1e-05,64,unweighted,0.1,64,1,1.0,0.001,0.0,,30,3,0.0,dinov2_small,4,adaptation_screen,42,label_4,,all,probe_only,person_context_25,0.1,0.0001,4,9958,3327,8,12,True,0.8824767057409078,0.8735571805853392,0.16955598391076177,0.02127198389326381,0.30077445594350455,0.8736793044945179,0.8824671649046468,22058116,1540,1134.9675461000297,e7eb46873cf2341ed599bbd01886d54c723febecdf0c9ec5a7c987d5f243ee7e,88911e47114f26f4197770add334bbdb20be5d6921b7c608464f5aac195bdd8b,b8ff9d3af2dd1b145ecf888d949543a373de5cc7,0,5ffd9a2548913b2b5a247465a3630d000bcfcdc071579dbd96c15025696b041f,0
adaptation/convnext_small_full_last_stage_seed42,mild,3e-05,16,unweighted,0.1,64,4,1.0,0.001,0.0,,30,3,0.0,convnext_small,4,adaptation_screen,42,label_4,,all,last_stage,full_frame,0.1,0.0001,4,9958,3327,24,28,True,0.8713555755936279,0.8646722754634382,0.19588576006308192,0.056894910119635295,0.39533754899552115,0.8642922354629985,0.871189815516484,49457764,15475204,1621.9765943000093,886ad3b55f2042f33a2175ac85afe7ad057f0a8c13d131da9cd8546d4711ec63,3f7fdbb6c3a663fedb8db259e3f69f2e69e7f88eaad682990149f36b3c948570,5c2b564113da927c75e9e972b2c30f1d1ba5d435,12,e29bad8a75b1c9b0acb5568cd210a3742a9bf7899d4b9468eceaeb4808738153,0
adaptation/convnext_small_full_head_seed42,mild,3e-05,64,unweighted,0.1,64,1,1.0,0.001,0.0,,30,3,0.0,convnext_small,4,adaptation_screen,42,label_4,,all,head_only,full_frame,0.1,0.0001,4,9958,3327,12,16,True,0.8151487826871056,0.8064137691696709,0.2621988105782796,0.020336294366830127,0.4764636818648166,0.8059331238847133,0.813779224724696,49457764,4612,980.2492713999818,bc15c819128598a1e3fbd467f007a7ae54d4bcfcc989dd2ee366e726d0dcbd79,635c5b76bd31013d0790df4c7033f1d0cddb6cc9692e876448004fe69cf6b361,5c2b564113da927c75e9e972b2c30f1d1ba5d435,12,7ccecb9b04c317d73c1237a6afe551de2d9fccaed6ed46e78e7d7e6ff5ec8316,0
ensemble_confirmation/dinov2_base_context25_top4_seed62,mild,5e-06,16,unweighted,0.1,64,4,1.0,0.001,0.0,,20,3,0.0,dinov2_base,4,confirmation,62,label_4,4.0,all,top_blocks,person_context_25,0.1,0.0001,4,9958,3327,15,19,True,0.9365795010519988,0.9318400537547644,0.11501951451628167,0.050897516832081074,0.42004262698981476,0.93208842451249,0.9366233219787173,86583556,28386820,1906.9516900000162,788eb50123d73b28a3f763a77cde2300d8d8a056ffe2cdba6f814c197e42dbcd,1ec0cf92e3895ffef352b51d494438e3fb75878105b7c09a0df4902ee2bcc9e5,26857ca63be79aed4d3dba6a16f4dc42b51635e9,12,609b2307d6d0ce2823ecc4f666d7dd64b4385512f5ee5773711f6293b5d4e275,0
ensemble_confirmation/dinov2_base_context25_top4_seed52,mild,5e-06,16,unweighted,0.1,64,4,1.0,0.001,0.0,,20,3,0.0,dinov2_base,4,confirmation,52,label_4,4.0,all,top_blocks,person_context_25,0.1,0.0001,4,9958,3327,3,7,True,0.9299669371806433,0.9212383828283701,0.10933185707129178,0.030515713600319155,0.20566654443023127,0.9234666351227019,0.9295129108450191,86583556,28386820,722.6239018000197,c76e4aa252dff4ca55a1b747922b5ca52be7a6013f5027773ea1e0f84648c3f8,79b42740b963e632b3ff78f163370685e052e4f8f21417719c987e22a9c9ff2a,26857ca63be79aed4d3dba6a16f4dc42b51635e9,12,829527ee4d14519e13e7051ea0afce4d0f79f046c84b73c7455c64f4e737b794,0
confirmation/dinov2_small_context25_full_moderate_seed62,moderate,5e-06,32,unweighted,0.1,64,2,1.0,0.001,0.0,0.75,20,3,0.0,dinov2_small,4,confirmation,62,label_4,,all,full_backbone,person_context_25,0.1,0.0001,4,9958,3327,12,16,True,0.9215509467989179,0.915784907890473,0.12741459953164352,0.03955331752882803,0.27732121283407785,0.9164619774745633,0.9217316217073432,22058116,22058116,829.0916452999809,6838c9a30127e481ed4298baa745bef17de6f2ec97720902a55a7b6ec8e6a5ab,c58d28c5ef32c1643732a3d82d5a34c7481a51858f1275eef1edaba915128e2a,ff33a16dbf51e77b23f41e360e8fa4129bef05ad,12,1433559e1c5c100ecefa797f207c0025df7b688f943da8cbbba3d08747c680a9,0
confirmation/dinov2_small_context25_full_dropout02_seed62,mild,5e-06,32,unweighted,0.2,64,2,1.0,0.001,0.0,0.75,20,3,0.0,dinov2_small,4,confirmation,62,label_4,,all,full_backbone,person_context_25,0.1,0.0001,4,9958,3327,13,17,True,0.9197475202885482,0.9127005038155368,0.13919183772122853,0.05485955632133244,0.35041682331887986,0.9142468242181465,0.9199742595987626,22058116,22058116,993.6852192999795,af31e9d1d41f23d7616fbe5da16f2e66e96ddc0ee1495624946ac88335385e72,074814975d246feca8c569cdef7c9e5e93fd01d1dd7b0111474644381a493f97,ff33a16dbf51e77b23f41e360e8fa4129bef05ad,12,e81d2265225e6e732e1a51496ee2b25485da401d974b080ade465611eb04f1b7,0
confirmation/dinov2_small_context25_top4_seed52,mild,5e-06,32,unweighted,0.1,64,2,1.0,0.001,0.0,,30,3,0.0,dinov2_small,4,confirmation,52,label_4,4.0,all,top_blocks,person_context_25,0.1,0.0001,4,9958,3327,12,16,True,0.9194469492034866,0.9133417454884829,0.1370649930195721,0.056874841920206726,0.3775072221850074,0.9139509809385515,0.9194851731263965,22058116,7115524,736.4189460999914,1e48fef977bfcf1aa7adbd03e0f0c2275b54f1469913384cc12e9cae22e73fa7,739e7b4642e97eeeb8fd759311812f1c7424456255e65b5a2f7f40ad318dbb92,ff33a16dbf51e77b23f41e360e8fa4129bef05ad,12,85b8e69bc105ef6f53b43dbdbd99342629f4d6d50baae703a274431d877d4f47,0
confirmation/dinov2_small_context25_full_wd001_seed62,mild,5e-06,32,unweighted,0.1,64,2,1.0,0.001,0.0,0.75,20,3,0.0,dinov2_small,4,confirmation,62,label_4,,all,full_backbone,person_context_25,0.1,0.01,4,9958,3327,13,17,True,0.9176435226931169,0.9111885353006547,0.13947045368350533,0.056724559569990375,0.3629441374916523,0.9122541160000555,0.91801772162952,22058116,22058116,910.4535747999907,7f6834757b701fa34c19ff70ddff5b7655725491e86ceb6d8a87755ec408e2a8,f3f7f89b7f84018fbd0da34b15a45661322f7d728a55d2a7431207bd3204efde,ff33a16dbf51e77b23f41e360e8fa4129bef05ad,12,cea92800a7e82920b104bc356fce19270cba4394f3f7b1a0038e8dd4eadad76a,0
confirmation/dinov2_small_context25_full_ld075_seed62,mild,5e-06,32,unweighted,0.1,64,2,1.0,0.001,0.0,0.75,20,3,0.0,dinov2_small,4,confirmation,62,label_4,,all,full_backbone,person_context_25,0.1,0.0001,4,9958,3327,13,17,True,0.9173429516080553,0.9108027328315189,0.1395830892221927,0.05707613540459627,0.36385483579294936,0.9119185325179269,0.9177124301379395,22058116,22058116,880.2192195000243,54efdcc67fbf4fc5b0e76b879fa19881a2043de3c98f5bad15a7b1887e458f5d,8f7386aac5241a578b07fa2c1cde4a26277a98527346caf62e4093424ae343f7,ff33a16dbf51e77b23f41e360e8fa4129bef05ad,12,77959495329da88c1f6537c1a4d835bcf64c6a2a7f9a314ac9b8ac6f9249bd55,0
confirmation/dinov2_small_context25_top4_seed62,mild,5e-06,32,unweighted,0.1,64,2,1.0,0.001,0.0,,30,3,0.0,dinov2_small,4,confirmation,62,label_4,4.0,all,top_blocks,person_context_25,0.1,0.0001,4,9958,3327,7,11,True,0.9170423805229937,0.9102518599997733,0.13140440199057818,0.04053189329056381,0.26293089627521027,0.9110992019516808,0.9170948958200673,22058116,7115524,511.67372319998685,8aaecc763b97b3b247447cb228fe1d06ec40497575de11661274ccf7cf767d49,1a4d75627a0c2f5f0fc6c082bb915b6fe801f017cfa5e9e56232239e2ca2bc37,ff33a16dbf51e77b23f41e360e8fa4129bef05ad,12,69ef836830493a2896c77bbcaf5407bb5bd8281868790327682cdebfba50282f,0
confirmation/dinov2_small_context25_full_ls005_seed52,mild,5e-06,32,unweighted,0.1,64,2,1.0,0.001,0.05,0.75,20,3,0.0,dinov2_small,4,confirmation,52,label_4,,all,full_backbone,person_context_25,0.1,0.0001,4,9958,3327,12,16,True,0.9155395250976857,0.9094029467072857,0.13247780621159913,0.021232901585788236,0.26696876980396617,0.9095174181183956,0.9154090941412947,22058116,22058116,831.1741999000078,3132429cf1813c4a169271f29b6ca3cfb3719be0e59e928d27d53b81fda8d60b,a6311dc5c302568fa1fe4ec8d3182f4d84ab543957cee3583bd43bbfa8db489f,ff33a16dbf51e77b23f41e360e8fa4129bef05ad,12,bc1097d9886f44689f80ae540a7dbb5ef4473f94fa2753f76f5c166dec9b8b2e,0
confirmation/dinov2_small_context25_full_moderate_seed52,moderate,5e-06,32,unweighted,0.1,64,2,1.0,0.001,0.0,0.75,20,3,0.0,dinov2_small,4,confirmation,52,label_4,,all,full_backbone,person_context_25,0.1,0.0001,4,9958,3327,7,11,True,0.9149383829275624,0.9101297400856078,0.12955709876253357,0.03258064732236042,0.2475961965025418,0.9090402280641325,0.9154038409360429,22058116,22058116,575.9459730999661,6571a80246b10cab0730c7745b842de16b1040e713300121a74ab272f4f6196b,3b7a74323a31721a4821d636bc3b8ed9e930c85d36ad7f222d38791dc5552b89,ff33a16dbf51e77b23f41e360e8fa4129bef05ad,12,c8fe1b561a05fa985c235f9cc8ea8a1c97871e1015b6bd6f5bf1e5ca5ab6de5a,0
