family,method,eligible,road_combined_mean,road_combined_std,road_combined_count,road_gap_auc_mean,road_gap_auc_std,road_gap_auc_count,deletion_auc_mean,deletion_auc_std,deletion_auc_count,insertion_auc_mean,insertion_auc_std,insertion_auc_count,random_deletion_auc_mean,random_deletion_auc_std,random_deletion_auc_count,selectivity_gap_mean,selectivity_gap_std,selectivity_gap_count,faithfulness_spearman_mean,faithfulness_spearman_std,faithfulness_spearman_count,seed_agreement_mean,seed_agreement_std,seed_agreement_count,tta_view_agreement_mean,tta_view_agreement_std,tta_view_agreement_count,eligible_rank,selected
convnext_small,hirescam,True,0.18478661336947555,0.08604863979849667,36,0.3842239609738398,0.17697566269057804,36,0.40449386231808204,0.17612213679449887,36,0.6736137167964544,0.16635271164778995,36,0.5546922664778928,0.15905714424285952,36,0.1501984041598108,0.11812421526467848,36,0.06388888888888888,0.29903007742152665,36,0.6778498330443399,0.16903947553771223,36,0.8550794343489212,0.05787585424490665,36,1.0,True
convnext_small,gradcam,True,0.18478028801051372,0.08603364637344775,36,0.38420972891617566,0.17694209101140582,36,0.40449386231808204,0.17612213679449887,36,0.6736137167964544,0.16635271164778995,36,0.5546922664778928,0.15905714424285952,36,0.1501984041598108,0.11812421526467848,36,0.06388888888888888,0.29903007742152665,36,0.6778515419816427,0.16904159233768862,36,0.8550786327059038,0.05787230049127492,36,2.0,False
convnext_small,integrated_gradients,True,0.11706612311464586,0.09500068345353962,36,0.2475317379123428,0.1979752062513033,36,0.4390857759759658,0.1787873646729834,36,0.6377128659954502,0.16460344400697347,36,0.5546922664778928,0.15905714424285952,36,0.11560649050192702,0.1200111687739412,36,0.01960784313725491,0.3164621535222852,36,0.912452739418292,0.038740775511416865,36,,,0,3.0,False
dinov2_small,gradient_attention_rollout,True,0.15593434372387918,0.1005683327378922,36,0.32274214395632345,0.21040908902002,36,0.4585266805667845,0.20962886023742727,36,0.7041541838294102,0.16137887745970964,36,0.5882464770227671,0.18552469346029646,36,0.1297197964559827,0.12059264375571627,36,0.2708333333333333,0.30458140850083076,36,0.6077760677606537,0.1254514210588121,36,,,0,1.0,True
dinov2_small,integrated_gradients,True,0.08437620013388863,0.11338049647346167,36,0.17587916724409702,0.2362026101000496,36,0.5204976305986444,0.20711896583979228,36,0.6533397580083046,0.18320119676409355,36,0.5882464770227671,0.18552469346029646,36,0.06774884642412268,0.14500533780701177,36,0.12467320261437909,0.29051004100334565,36,0.8370038499889794,0.06914005155890822,36,,,0,2.0,False
dinov2_small,attention_rollout,False,0.044587486506911155,0.0956692613721644,36,0.09456093091284856,0.20414626406704786,36,0.5496329304451744,0.19073422258033287,36,0.6238233347837296,0.19281554944499185,36,0.5882464770227671,0.18552469346029646,36,0.038613546577592715,0.12951539120307076,36,0.034640522875816995,0.24996995480466747,36,0.8667058738757066,0.09844581795495605,36,,,0,,False
