variant,seeds,macro_f1_mean,macro_f1_sd,log_loss_mean,ece_mean,best_epoch_mean,runtime_seconds_mean
baseline_mild_dropout_010,3,0.9125718514608536,0.005499115078392712,0.32266328905943126,0.05045540288924177,10.666666666666666,842.517955766661
moderate_augmentation,3,0.9145791423383219,0.004878091540245426,0.2709750600209829,0.0401774327156073,12.666666666666666,832.0142755999696
dropout_020,3,0.9134415718525224,0.006128135976744715,0.32816581313854526,0.050192144783950836,11.666666666666666,878.0679474999779
label_smoothing_005,3,0.9102990336676017,0.0035384159062325335,0.25791459972138214,0.018668639251967736,9.666666666666666,747.6327346000083
weight_decay_0p01,3,0.9126837126215633,0.00548256895601176,0.3220232792469784,0.0498958224194709,10.666666666666666,810.2248427000013
