family,candidate_id,seed,calibration,derived_final_epochs,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,macro_ovr_roc_auc,macro_ovr_pr_auc,ece,mce
convnext_small,conv_randaugment_d0,42,flip_tta_raw,5,0.813953488372093,0.8283475783475783,0.8158730158730158,0.8147893772893773,0.8141132123690263,0.8158730158730158,0.5062474099865932,0.27572336763624966,0.9447728516694034,0.9070994183233712,0.11270212572674417,0.7197265625
convnext_small,conv_randaugment_d0,42,flip_tta_temperature_scaled,5,0.813953488372093,0.8283475783475783,0.8158730158730158,0.8147893772893773,0.8141132123690263,0.8158730158730158,0.5058105991564689,0.28087908694675096,0.943951833607006,0.9059089421328951,0.13631315864219629,0.4256071176941705
convnext_small,conv_randaugment_d0,42,raw,5,0.7906976744186046,0.8005698005698005,0.7936507936507936,0.7893518518518517,0.7882213608957795,0.7936507936507936,0.5041216931678124,0.27835696276243266,0.9440339354132458,0.9107623784569197,0.179443359375,0.552978515625
convnext_small,conv_randaugment_d0,42,temperature_scaled,5,0.7906976744186046,0.8005698005698005,0.7936507936507936,0.7893518518518517,0.7882213608957795,0.7936507936507936,0.5066378400805182,0.2846008716457153,0.9440065681444992,0.9103655530600943,0.22663844765092273,0.5758296491207646
convnext_small,conv_randaugment_d0,52,flip_tta_raw,6,0.7674418604651163,0.7962962962962963,0.7650793650793651,0.7702890978753048,0.7706981604335255,0.7650793650793651,0.6176109448886593,0.33242889415949456,0.9244937055281883,0.8789688067732442,0.18080032703488375,0.63037109375
convnext_small,conv_randaugment_d0,52,flip_tta_temperature_scaled,6,0.7674418604651163,0.7962962962962963,0.7650793650793651,0.7702890978753048,0.7706981604335255,0.7650793650793651,0.6151188981963011,0.3230434900106504,0.9277504105090313,0.8899806780289236,0.1526918378128623,0.5730167982299537
convnext_small,conv_randaugment_d0,52,raw,6,0.7441860465116279,0.7756892230576442,0.7412698412698413,0.7469654528478058,0.7473780209758323,0.7412698412698413,0.6233970307392753,0.33139229371321455,0.9228790366721401,0.8757294384851129,0.1926326308139535,0.61962890625
convnext_small,conv_randaugment_d0,52,temperature_scaled,6,0.7441860465116279,0.7756892230576442,0.7412698412698413,0.7469654528478058,0.7473780209758323,0.7412698412698413,0.617459756169559,0.32312535175776913,0.9261631089217297,0.8858490538485362,0.20397293953698173,0.62145609858501
convnext_small,conv_randaugment_d0,62,flip_tta_raw,7,0.7674418604651163,0.7821969696969697,0.7666666666666667,0.7691756272401434,0.7692923230807701,0.7666666666666667,0.6408615091092902,0.3517581043555807,0.913615216201423,0.8531314389191419,0.15491006540697672,0.49658203125
convnext_small,conv_randaugment_d0,62,flip_tta_temperature_scaled,7,0.7674418604651163,0.7821969696969697,0.7666666666666667,0.7691756272401434,0.7692923230807701,0.7666666666666667,0.6076678820839048,0.3374236615692065,0.9123700054734538,0.8580061024597717,0.12015620922837726,0.27570703928623785
convnext_small,conv_randaugment_d0,62,raw,7,0.7441860465116279,0.7631610219845514,0.7444444444444445,0.7476702508960574,0.7473368342085522,0.7444444444444445,0.6591735383151112,0.36841403840695147,0.9083470169677067,0.8493506627226637,0.16174600290697677,0.6337890625
convnext_small,conv_randaugment_d0,62,temperature_scaled,7,0.7441860465116279,0.7631610219845514,0.7444444444444445,0.7476702508960574,0.7473368342085522,0.7444444444444445,0.6224217447924337,0.34863187115205496,0.911576354679803,0.8591149989155712,0.14684756781419758,0.5561752705227537
dinov2_small,dino_full_d10,42,flip_tta_raw,6,0.813953488372093,0.8294853294853294,0.8174603174603176,0.8129578754578755,0.8119409660107335,0.8174603174603176,0.5985264900349642,0.30128673306960335,0.9293377120963328,0.8759768103882065,0.10111964026162792,0.23665364583333337
dinov2_small,dino_full_d10,42,flip_tta_temperature_scaled,6,0.813953488372093,0.8294853294853294,0.8174603174603176,0.8129578754578755,0.8119409660107335,0.8174603174603176,0.5242127148508718,0.2955710697177369,0.9293650793650793,0.8752794320216551,0.11189792591147173,0.4439152877959223
dinov2_small,dino_full_d10,42,raw,6,0.7674418604651163,0.7722222222222221,0.7698412698412698,0.766453810131971,0.7658558317740354,0.7698412698412698,0.608085538809473,0.3262211771043434,0.9285166940339354,0.8808612138487177,0.12988849018895351,0.52392578125
dinov2_small,dino_full_d10,42,temperature_scaled,6,0.7674418604651163,0.7722222222222221,0.7698412698412698,0.766453810131971,0.7658558317740354,0.7698412698412698,0.5264344548281201,0.3068257819295113,0.9284619594964423,0.8822632866466714,0.10117630590248791,0.43163396907538054
dinov2_small,dino_full_d10,52,flip_tta_raw,3,0.8372093023255814,0.8375,0.8365079365079365,0.8348307235960184,0.834920931824468,0.8365079365079365,0.5164746185012524,0.280839676715619,0.9303776683087027,0.8950486725028899,0.13205168968023256,0.50927734375
dinov2_small,dino_full_d10,52,flip_tta_temperature_scaled,3,0.8372093023255814,0.8375,0.8365079365079365,0.8348307235960184,0.834920931824468,0.8365079365079365,0.5327968878206201,0.2992304889391043,0.9279419813902572,0.8890124973490675,0.14074960148910176,0.5612834187173752
dinov2_small,dino_full_d10,52,raw,3,0.7906976744186046,0.7875,0.7888888888888889,0.7862011922078662,0.7874223197709241,0.7888888888888889,0.5632714238503281,0.3090084844762558,0.9140120415982484,0.8669663479063449,0.10946584302325581,0.46484375
dinov2_small,dino_full_d10,52,temperature_scaled,3,0.7906976744186046,0.7875,0.7888888888888889,0.7862011922078662,0.7874223197709241,0.7888888888888889,0.567022244599148,0.32186673703679264,0.916447728516694,0.8692619847322781,0.13840507138028285,0.25919388397344456
dinov2_small,dino_full_d10,62,flip_tta_raw,4,0.8372093023255814,0.8590686274509803,0.8365079365079365,0.8369175627240143,0.8369592398099526,0.8365079365079365,0.5535256820682154,0.2762060584057298,0.9358511220580187,0.8978353769635282,0.08038472020348839,0.3681640625
dinov2_small,dino_full_d10,62,flip_tta_temperature_scaled,4,0.8372093023255814,0.8590686274509803,0.8365079365079365,0.8369175627240143,0.8369592398099526,0.8365079365079365,0.5367455090159996,0.2878535717730657,0.9382868089764642,0.9012609673499029,0.125924231219741,0.4803092765043787
dinov2_small,dino_full_d10,62,raw,4,0.8372093023255814,0.8590686274509803,0.8365079365079365,0.8369175627240143,0.8369592398099526,0.8365079365079365,0.6461501552596665,0.2991755948440588,0.9221127531472361,0.8829353245584372,0.1385810319767442,0.44873046875
dinov2_small,dino_full_d10,62,temperature_scaled,4,0.8372093023255814,0.8590686274509803,0.8365079365079365,0.8369175627240143,0.8369592398099526,0.8365079365079365,0.5905965975059226,0.313562308101695,0.9204707170224413,0.8782292091415375,0.1793616793667755,0.49337190283742516
