method,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,oof_rank,selected_champion
probability_blend,0.7892561983471075,0.7882115160011014,0.7894487536721031,0.7882173382173382,0.5504206946789344,0.3159205256056036,0.09704481088470925,1,True
dinov2_small,0.78099173553719,0.7807699637888317,0.7819556866024977,0.7801892551892552,0.5478777615910855,0.3162482404208468,0.08158632073189227,2,False
dinov2_small_svm,0.7727272727272727,0.7722648567498945,0.7736494640166619,0.771443833943834,0.5261043840136623,0.30980129105622095,0.05399825262294696,3,False
convnext_small,0.743801652892562,0.7426248202687292,0.7437229788452863,0.7428571428571429,0.658346775621503,0.37927048954533404,0.06863103951866852,4,False
convnext_small_svm,0.7396694214876033,0.738976742321224,0.7408323454648671,0.7378968253968253,0.6552049051113801,0.3793951670821635,0.0900408238835844,5,False
