model_kind,rank,candidate_id,oof_macro_f1,fold_macro_f1_std,oof_log_loss,selected
convnext_small,1,conv_randaugment_d0,0.736307254188049,0.0454030777696285,0.727467964907414,True
convnext_small,2,conv_randaugment_d10,0.7317422069229297,0.050947296210310564,0.7481656334275049,False
convnext_small,3,conv_base_d0,0.7191123415069276,0.041620681439016545,0.7503230812165208,False
convnext_small,4,conv_base_d10,0.7131163084954105,0.037702100329804686,0.7499897341419285,False
dinov2_small,1,dino_full_d10,0.8025445583727793,0.03938753858195843,0.6247410814361034,True
dinov2_small,2,dino_top2_wd5e4_d10,0.7878615840052401,0.04819754867225346,0.6240026664298037,False
dinov2_small,3,dino_top4_d10,0.7811602081230099,0.0237691094076882,0.6069594731949131,False
