scope,class,rows,ensemble_accuracy,oracle_accuracy,component_disagreement_rate,error_count
overall,all,3329,0.9456293181135476,0.9804746170021027,0.15740462601381797,181
class,sitting,1034,0.9854932301740812,0.995164410058027,0.05609284332688588,15
class,standing,921,0.9391965255157437,0.9804560260586319,0.18566775244299674,56
class,walking,638,0.8730407523510971,0.9592476489028213,0.33072100313479624,81
class,running,736,0.9605978260869565,0.9782608695652174,0.11413043478260869,29
error_family,standing <-> walking,3329,,,,97
error_family,walking <-> running,3329,,,,54
error_family,sitting <-> standing,3329,,,,22
error_family,other,3329,,,,8
