family,image_id,curve,fraction,target_probability
convnext_small_full,p1_00425,deletion,0.4,0.6594434181849161
convnext_small_full,p1_00425,deletion,0.6,0.4359550128380458
convnext_small_full,p1_00425,deletion,0.8,0.1486607020099958
convnext_small_full,p1_00425,deletion,1.0,0.018005760852247477
convnext_small_full,p1_00425,insertion,0.0,0.018005760852247477
convnext_small_full,p1_00425,insertion,0.1,0.025526622931162517
convnext_small_full,p1_00425,insertion,0.2,0.29266708344221115
convnext_small_full,p1_00425,insertion,0.4,0.6278861314058304
convnext_small_full,p1_00425,insertion,0.6,0.9587955872217814
convnext_small_full,p1_00425,insertion,0.8,0.9888131419817606
convnext_small_full,p1_00425,insertion,1.0,0.9853918353716532
convnext_small_full,p1_00425,random_deletion,0.0,0.9853918353716532
convnext_small_full,p1_00425,random_deletion,0.1,0.9901683529218038
convnext_small_full,p1_00425,random_deletion,0.2,0.991747518380483
convnext_small_full,p1_00425,random_deletion,0.4,0.9623958071072897
convnext_small_full,p1_00425,random_deletion,0.6,0.31060246129830676
convnext_small_full,p1_00425,random_deletion,0.8,0.08061931778987248
convnext_small_full,p1_00425,random_deletion,1.0,0.018005760852247477
convnext_small_full,p1_00741,deletion,0.0,0.9998666644096375
convnext_small_full,p1_00741,deletion,0.1,0.9968213637669882
convnext_small_full,p1_00741,deletion,0.2,0.9540461301803589
convnext_small_full,p1_00741,deletion,0.4,0.3870130820820729
convnext_small_full,p1_00741,deletion,0.6,0.3757864696284135
convnext_small_full,p1_00741,deletion,0.8,0.4580746740102768
convnext_small_full,p1_00741,deletion,1.0,0.7784195144971212
convnext_small_full,p1_00741,insertion,0.0,0.7784195144971212
convnext_small_full,p1_00741,insertion,0.1,0.8853897849718729
convnext_small_full,p1_00741,insertion,0.2,0.9257923165957133
convnext_small_full,p1_00741,insertion,0.4,0.9900149504343668
convnext_small_full,p1_00741,insertion,0.6,0.8747272491455078
convnext_small_full,p1_00741,insertion,0.8,0.9985589385032654
convnext_small_full,p1_00741,insertion,1.0,0.9998666644096375
convnext_small_full,p1_00741,random_deletion,0.0,0.9998666644096375
convnext_small_full,p1_00741,random_deletion,0.1,0.9934809803962708
