run_id,requested_train_size,actual_train_size,seed,subset_image_ids_sha256,feature_dimensions,fit_seconds,iterations,converged,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,test_rows_read
size_242_seed_42,242,242,42,0f3a0ae24d6b83644128c5f5de78113a13f43dd8adfa7af1879f17478ba70b04,1536,0.10885880002751946,50,True,0.8590321611061016,0.8486514825395157,0.8578716898448748,0.8481620301335384,0.40718932018728116,0.21352772814246834,0.061561543236093245,0
size_242_seed_52,242,242,52,0f3a0ae24d6b83644128c5f5de78113a13f43dd8adfa7af1879f17478ba70b04,1536,0.10451049997936934,50,True,0.8590321611061016,0.8486514825395157,0.8578716898448748,0.8481620301335384,0.40718932018728116,0.21352772814246834,0.061561543236093245,0
size_242_seed_62,242,242,62,0f3a0ae24d6b83644128c5f5de78113a13f43dd8adfa7af1879f17478ba70b04,1536,0.11378750001313165,50,True,0.8590321611061016,0.8486514825395157,0.8578716898448748,0.8481620301335384,0.40718932018728116,0.21352772814246834,0.061561543236093245,0
size_500_seed_42,500,500,42,82844c2592f0267645a1c51992a8567cc6ac644f882ff44602d484dda7aa946c,1536,0.12536870001349598,49,True,0.8809738503155996,0.8717569537008552,0.880491866771386,0.8710629789503899,0.33893058568856654,0.18140179396045628,0.04092511392431154,0
size_500_seed_52,500,500,52,82844c2592f0267645a1c51992a8567cc6ac644f882ff44602d484dda7aa946c,1536,0.12591629999224097,49,True,0.8809738503155996,0.8717569537008552,0.880491866771386,0.8710629789503899,0.33893058568856654,0.18140179396045628,0.04092511392431154,0
size_500_seed_62,500,500,62,82844c2592f0267645a1c51992a8567cc6ac644f882ff44602d484dda7aa946c,1536,0.13850150001235306,49,True,0.8809738503155996,0.8717569537008552,0.880491866771386,0.8710629789503899,0.33893058568856654,0.18140179396045628,0.04092511392431154,0
size_1000_seed_42,1000,1000,42,ad84dd56505f80f3df27667425e82856daea1b1883cba2614533cbde5f3e803a,1536,0.19856359995901585,61,True,0.8914938382927562,0.8810183557713624,0.8906187138184551,0.88035613076582,0.300012875547846,0.1600464270741226,0.018168502489261964,0
size_1000_seed_52,1000,1000,52,ad84dd56505f80f3df27667425e82856daea1b1883cba2614533cbde5f3e803a,1536,0.19682989997090772,61,True,0.8914938382927562,0.8810183557713624,0.8906187138184551,0.88035613076582,0.300012875547846,0.1600464270741226,0.018168502489261964,0
size_1000_seed_62,1000,1000,62,ad84dd56505f80f3df27667425e82856daea1b1883cba2614533cbde5f3e803a,1536,0.21360810002079234,61,True,0.8914938382927562,0.8810183557713624,0.8906187138184551,0.88035613076582,0.300012875547846,0.1600464270741226,0.018168502489261964,0
size_3000_seed_42,3000,3000,42,ff21d3c2dcbcd2ec5df13b0f44c197ba833aedab71333c8e828b4bd4e48cc28d,1536,0.678710600011982,93,True,0.9062218214607755,0.8979914556986094,0.9059996704920009,0.8978069219820737,0.25110399904746006,0.13769306823128125,0.01249450582791016,0
size_3000_seed_52,3000,3000,52,ff21d3c2dcbcd2ec5df13b0f44c197ba833aedab71333c8e828b4bd4e48cc28d,1536,0.6906127000111155,93,True,0.9062218214607755,0.8979914556986094,0.9059996704920009,0.8978069219820737,0.25110399904746006,0.13769306823128125,0.01249450582791016,0
size_3000_seed_62,3000,3000,62,ff21d3c2dcbcd2ec5df13b0f44c197ba833aedab71333c8e828b4bd4e48cc28d,1536,0.6978935000370257,93,True,0.9062218214607755,0.8979914556986094,0.9059996704920009,0.8978069219820737,0.25110399904746006,0.13769306823128125,0.01249450582791016,0
size_all_seed_42,all,9958,42,8d918a2ba97ff1886fb618704a6976995bbe20707e702ac65851a4ea71700470,1536,3.364784999983385,151,True,0.9221520889690412,0.9150201390317813,0.9222576981080229,0.915331032406206,0.2167554628124094,0.11779100147841458,0.016343653523593352,0
size_all_seed_52,all,9958,52,8d918a2ba97ff1886fb618704a6976995bbe20707e702ac65851a4ea71700470,1536,3.3090727999806404,151,True,0.9221520889690412,0.9150201390317813,0.9222576981080229,0.915331032406206,0.2167554628124094,0.11779100147841458,0.016343653523593352,0
size_all_seed_62,all,9958,62,8d918a2ba97ff1886fb618704a6976995bbe20707e702ac65851a4ea71700470,1536,3.324600799998734,151,True,0.9221520889690412,0.9150201390317813,0.9222576981080229,0.915331032406206,0.2167554628124094,0.11779100147841458,0.016343653523593352,0
