family,image_id,true_label,trained_vs_randomized_head_spearman,trained_vs_randomized_adapted_cascade_spearman
convnext_small_full,p1_00036,running,0.5702184171919523,0.5234214026275763
convnext_small_full,p1_01079,running,0.7438108237055676,0.6564957001216601
convnext_small_full,p1_02694,running,0.6834397035024762,0.7173725951322413
convnext_small_full,p1_02919,running,0.5447578812096028,0.3216195967313948
convnext_small_full,p1_00397,sitting,-0.10356020663923327,0.2659697860229244
convnext_small_full,p1_00849,sitting,0.49492363889267044,0.3112814042459475
convnext_small_full,p1_01572,sitting,0.38578670150570477,0.3298490053044973
convnext_small_full,p1_01658,sitting,-0.2696410057809134,-0.2112720399923437
convnext_small_full,p1_00147,standing,-0.30773809523809526,-0.24830586080586078
convnext_small_full,p1_00234,standing,-0.39267357399335284,-0.4836128449339159
convnext_small_full,p1_00425,standing,-0.18434910042678873,-0.05329914378956336
convnext_small_full,p1_00741,standing,0.352518315018315,0.2894230769230769
convnext_small_full,p1_00749,walking,-0.5913590513716005,-0.5424723923638142
convnext_small_full,p1_00862,walking,0.25351177661551133,-0.040733151246296485
convnext_small_full,p1_01317,walking,0.18613489648159368,-0.06003022122690512
convnext_small_full,p1_01497,walking,0.5669707758015208,0.37875891438967735
dinov2_base_top4,p1_00036,running,0.9059523809523808,0.6616300366300365
dinov2_base_top4,p1_01079,running,0.9210164835164835,0.8347069597069595
dinov2_base_top4,p1_02694,running,0.688095238095238,0.7496794871794871
dinov2_base_top4,p1_02919,running,0.920741758241758,0.8002289377289376
dinov2_base_top4,p1_00397,sitting,0.9169413919413918,0.8361263736263735
dinov2_base_top4,p1_00849,sitting,0.6499999999999999,0.42413003663003657
dinov2_base_top4,p1_01572,sitting,0.9392857142857141,0.8895604395604395
dinov2_base_top4,p1_01658,sitting,0.9254578754578754,0.6819139194139193
dinov2_base_top4,p1_00147,standing,0.9289835164835165,0.8509157509157509
dinov2_base_top4,p1_00234,standing,0.9099358974358973,0.6938644688644687
dinov2_base_top4,p1_00425,standing,0.9380952380952382,0.7106227106227105
dinov2_base_top4,p1_00741,standing,0.9057692307692308,0.6373626373626373
dinov2_base_top4,p1_00749,walking,0.8816391941391939,0.8309065934065933
dinov2_base_top4,p1_00862,walking,0.7760531135531136,0.7639194139194139
dinov2_base_top4,p1_01317,walking,0.7814102564102563,0.30297619047619045
dinov2_base_top4,p1_01497,walking,0.9517399267399266,0.6609432234432233
