convnext_weight,dinov2_weight,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,distance_from_equal_weight
0.1,0.9,0.7892561983471075,0.7882115160011014,0.7894487536721031,0.7882173382173382,0.5504206946789344,0.3159205256056036,0.09704481088470925,0.4
0.17500000000000002,0.825,0.7892561983471075,0.7881614160214602,0.7895159305014754,0.7880189255189256,0.553521744695757,0.31664160570445954,0.10097676708119116,0.32499999999999996
0.025,0.975,0.7851239669421488,0.7850573178791113,0.7860234378249477,0.7844627594627595,0.5483317085674174,0.3160281879727091,0.08764973966364269,0.475
0.05,0.95,0.7851239669421488,0.7846092023307213,0.7856470342085992,0.7841575091575091,0.5489099566822827,0.3159002180207893,0.08947315506933415,0.45
0.07500000000000001,0.925,0.7851239669421488,0.7846092023307213,0.7856470342085992,0.7841575091575091,0.5496076309132741,0.31586433056508745,0.0912546567489067,0.425
0.15000000000000002,0.85,0.7851239669421488,0.7843265466931015,0.7856325395735048,0.7840506715506717,0.5523802375468908,0.3163091631752896,0.09828649001885592,0.35
0.2,0.8,0.7851239669421488,0.7836510447809588,0.7851116718362463,0.7837454212454213,0.5547685537417343,0.31706613072984746,0.0994992243339772,0.3
0.0,1.0,0.78099173553719,0.7807699637888317,0.7819556866024977,0.7801892551892552,0.5478777615910855,0.3162482404208468,0.08158632073189227,0.5
0.125,0.875,0.78099173553719,0.7798244447505573,0.7812362768410115,0.7797771672771674,0.551345811093782,0.3160688031423376,0.0930922494589935,0.375
0.225,0.775,0.78099173553719,0.7795817648561959,0.78095915956449,0.7797771672771674,0.5561192876844246,0.3175827382514533,0.10868745519141734,0.275
0.35000000000000003,0.6499999999999999,0.78099173553719,0.7789523631427834,0.7803679843445436,0.7796703296703296,0.5644076726826881,0.32154701330275154,0.12753265882082362,0.14999999999999997
0.25,0.75,0.7768595041322314,0.775726598373449,0.7770540176849945,0.7758089133089134,0.5575729334907452,0.31819142826927704,0.10573461720906481,0.25
0.30000000000000004,0.7,0.7768595041322314,0.7750779885820741,0.7765623295783012,0.7755036630036631,0.5607865607651746,0.3196850557935784,0.11258684927917946,0.19999999999999996
0.325,0.675,0.7768595041322314,0.7750779885820741,0.7765623295783012,0.7755036630036631,0.5625461082687385,0.3205699933000561,0.12246996280817483,0.175
0.375,0.625,0.7768595041322314,0.7750779885820741,0.7765623295783012,0.7755036630036631,0.5663717505887996,0.32261611580166505,0.11998628438136417,0.125
0.4,0.6,0.7768595041322314,0.7750779885820741,0.7765623295783012,0.7755036630036631,0.5684391156789634,0.3237773007967965,0.1084592787758697,0.09999999999999998
