candidate,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece
dinov2_base_top4,0.6768072289156627,0.6853244990345811,0.6815189609446,0.754202778610121,1.822315271718345,0.5616973854183063,0.25331278684122954
locked_ensemble_collapsed,0.6728915662650602,0.6840393638307938,0.6803758586894302,0.7555620345909525,1.2001382958418734,0.5215137195955337,0.18007402277832957
dinov2_base_multilayer_rbf,0.6543674698795181,0.6682192678195001,0.6673482301932027,0.7299940275613941,2.0924356060319282,0.6289729152995502,0.27376145949233693
direct_three_class_probe,0.6515060240963856,0.6653242135234461,0.6587416246551233,0.7399569589209061,1.2555321119056615,0.5702936549025316,0.23467957709221401
dinov2_base_multilayer_logistic,0.6493975903614457,0.6637865061761542,0.6570195382066236,0.7391131312586489,1.3441917885303503,0.5774081099396752,0.23386258992965014
dinov2_small_moderate,0.6518072289156627,0.660937682017526,0.6556405899710148,0.7305207313599736,1.5988644726398444,0.5868612654207247,0.2528807719275842
convnext_small_full,0.6182228915662651,0.6212499179381427,0.612939096568393,0.6939162627595391,1.896539948030387,0.6380770749558341,0.2749681559097884
