stage,family,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,adaptive_ece,classwise_ece,locomotion_f1
nested_stacks,dino_siglip_factorized_reliability_stack,0.8870481927710844,0.8696815257533729,0.8860844367523448,0.8658366160740396,0.265783994517854,0.1619198356285258,0.0054142543776365,0.008021290516743,0.0066802175433179,0.7615921214608125
nested_stacks,dino_siglip_linear_svm_control,0.8826807228915663,0.8640503321900853,0.8818361864121712,0.8602411106391408,0.2815238813272868,0.1705528995055708,0.010671676430784,0.0139395017707724,0.0099794263683816,0.7470371883939517
nested_stacks,dino_factorized_probability_stack,0.8762048192771085,0.8560097324144321,0.874914494487487,0.8515385133756969,0.2917557434898991,0.1772083950755024,0.0094319233945866,0.0069152356326406,0.0094636483429067,0.7330578512396694
nested_stacks,dino_flat_probability_stack,0.8746987951807229,0.8543401909579407,0.87355953264973,0.8500376561128927,0.293731012573294,0.1783286292509968,0.0096321999760131,0.0084129465118487,0.0096814602588466,0.7292181069958847
representations,dinov2_base,0.8635542168674699,0.8394947059879568,0.8612911227110301,0.8323091314732077,0.3257660744644589,0.1962315266889401,0.0105145749797441,0.0137427738077662,0.0121461434267726,0.7005937234944869
representations,dinov3_base,0.8600903614457831,0.8367131287077965,0.857870636580656,0.8285155361739546,0.3256873221526372,0.196588049530858,0.0138750258954327,0.0131025301935205,0.0101549030057389,0.7012765957446808
representations,siglip2_base,0.8563253012048193,0.8357872799548637,0.8545481616030054,0.8293789551809191,0.3436659535965128,0.2080172808393527,0.0152592364002231,0.0168779927255364,0.0132222281433944,0.7171717171717171
spatial,multiresolution_224_336_reliability,0.865512048192771,0.8420872028141894,0.8633141917621586,0.8354826069265068,0.3097976058691781,0.1881874621025268,0.0070627339532615,0.0071834052795195,0.0088926469402021,0.7055837563451777
spatial,multiresolution_224_336_448_reliability,0.863855421686747,0.8405322989731093,0.8620324547998625,0.8347876206521586,0.3109624458523423,0.1906697424132448,0.0108630081959955,0.0098323859817811,0.0098351575686553,0.701255230125523
spatial,adaptive_context25_50_reliability,0.8634036144578313,0.8404798044078595,0.8615795561394236,0.834755917322907,0.3142729559710712,0.1907961168734353,0.0131544945535851,0.0104230268560735,0.0121072090099204,0.7032231059020511
spatial,tight_blurred_context_boundary_geometry,0.8637048192771084,0.8396443760923598,0.861295268934443,0.8329765320224883,0.3221370888895875,0.195614855566336,0.0094640909876496,0.0113469264960763,0.0077962197575212,0.7017841971112999
spatial,tight_masked_context_boundary_geometry,0.8614457831325302,0.8378813256907326,0.8591476730931908,0.8318660826138387,0.3300955044076443,0.2002106950101142,0.0102905279160112,0.0108481166280254,0.0099978611113649,0.701650444350402
spatial,tight_context50_boundary_geometry,0.861144578313253,0.836643900220828,0.85886513460882,0.8298871014916079,0.3206943906120945,0.1951748178888533,0.0081415518127456,0.0095183551128213,0.0086208910870855,0.6943268416596104
spatial,tight_context25_boundary_geometry,0.8603915662650602,0.8358351242527998,0.8580382468326873,0.8294449959178949,0.3191012644946991,0.1938311138833066,0.0190028709747898,0.0147479717645625,0.0111491733100363,0.6937738246505718
spatial,tight_no_geometry,0.8537650602409639,0.8273821023439248,0.8509112424343428,0.8205021701784164,0.3494486648668892,0.210136355607748,0.0110732430951843,0.0123391947222448,0.0116335465084262,0.6775021385799829
spatial,box_augmentation_invariant_factorized,0.8456325301204819,0.8251695508720536,0.8461806304548583,0.8282084205415775,0.6770513174041699,0.2538650749087082,0.106047917817319,0.1058868936685256,0.0715775186594422,0.6809172172561213
spatial,tight_basic_geometry,0.8512048192771084,0.8239376755088811,0.8480967463049922,0.8166273095707183,0.3468319902882678,0.2098867398868761,0.0108643745940233,0.0100911161748048,0.0117999115872957,0.6709677419354839
